cliente_id,data_compra,valor
1,2026-01-13,175.26
2,2026-04-23,302.77
2,2026-04-22,245.15
2,2026-04-22,128.32
2,2026-04-21,452.14
2,2026-04-20,199.61
2,2026-04-20,173.09
2,2026-04-20,470.73
2,2026-04-20,416.55
3,2025-12-27,225.45
3,2025-11-16,85.61
4,2026-05-06,183.66
4,2025-11-25,193.73
4,2025-11-03,305.62
4,2025-07-13,290.22
5,2025-12-18,472.64
5,2025-04-25,80.44
6,2025-10-08,97.81
6,2025-08-15,185.11
6,2025-05-01,339.1
6,2025-04-24,315.91
6,2025-04-06,472.75
6,2025-01-17,102.11
6,2024-12-14,253.91
6,2024-11-06,259.28
7,2026-03-06,201.28
8,2026-04-14,673.88
8,2026-03-22,638.66
8,2026-03-17,336.09
8,2026-03-13,174.73
8,2026-02-25,383.57
8,2026-02-21,90.16
8,2026-02-17,330.51
8,2026-01-25,240.86
9,2026-04-05,426.71
10,2025-10-19,419.02
10,2025-10-12,446.97
10,2025-10-10,362.71
10,2025-08-08,400.55
10,2025-07-07,158.59
10,2025-05-15,82.9
10,2025-05-04,130.54
11,2025-08-05,352.63
11,2025-07-04,74.38
11,2025-07-01,140.1
12,2026-04-08,185.53
12,2025-10-20,463.22
12,2025-10-12,173.95
13,2025-07-16,222.5
14,2026-01-20,403.34
14,2025-11-01,339.31
14,2025-10-12,350.75
14,2025-09-20,422.4
14,2025-08-24,498.24
14,2025-08-11,242.23
14,2025-05-21,78.24
15,2026-01-14,308.29
15,2026-01-11,229.47
15,2026-01-03,349.72
15,2026-01-01,321.34
15,2025-12-31,388.02
15,2025-12-25,418.3
15,2025-12-24,152.88
15,2025-12-24,246.53
16,2025-11-13,212.32
16,2025-11-12,248.72
16,2025-11-04,171.96
16,2025-09-30,103.77
16,2025-05-28,218.31
16,2025-05-12,96.14
16,2025-01-29,122.69
17,2026-06-04,372.67
17,2026-04-21,500.54
17,2026-04-03,308.89
17,2026-03-09,261.45
17,2025-11-25,292.68
17,2025-08-28,1288.4
17,2025-08-18,1116.55
17,2025-08-07,298.31
17,2025-06-26,600.69
17,2025-06-05,960.91
17,2025-03-07,763.68
17,2025-02-05,52.34
17,2025-01-16,313.39
17,2025-01-06,578.14
18,2025-08-15,144.17
18,2025-07-26,150.06
18,2025-05-29,288.98
19,2026-03-30,386.77
19,2026-03-28,232.59
19,2026-03-28,339.19
19,2026-03-28,170.28
20,2025-06-10,287.15
21,2026-01-05,114.64
22,2026-05-21,318.7
22,2026-05-13,923.35
22,2026-05-03,602.36
22,2026-05-02,370.92
22,2026-04-05,144.0
22,2026-03-29,594.31
22,2026-03-12,668.43
22,2026-03-12,304.3
22,2026-02-13,748.11
22,2026-01-01,359.78
22,2025-12-31,315.92
22,2025-11-20,302.61
22,2025-10-08,204.04
22,2025-09-22,244.3
23,2026-06-07,294.62
23,2026-04-27,374.45
23,2026-04-14,559.68
23,2026-04-07,196.15
24,2026-02-18,805.8
24,2026-01-17,995.71
24,2026-01-08,731.96
24,2026-01-01,584.82
24,2025-11-25,580.61
24,2025-11-05,75.81
24,2025-09-02,426.44
24,2025-08-24,508.78
24,2025-08-20,478.33
24,2025-07-25,210.08
24,2025-07-13,230.79
24,2025-07-04,611.36
24,2025-04-20,159.46
24,2025-04-20,243.73
24,2025-04-11,299.26
24,2025-03-11,327.31
24,2025-03-11,659.72
25,2025-12-05,717.29
25,2025-09-12,74.62
25,2025-08-08,542.07
25,2025-07-12,179.87
26,2026-06-01,211.39
26,2026-04-17,111.58
26,2026-03-17,145.85
27,2025-11-01,298.07
27,2025-09-11,353.62
27,2025-03-23,150.97
27,2025-02-22,111.17
27,2025-01-21,187.05
27,2025-01-09,141.04
27,2025-01-04,222.22
27,2024-11-28,261.87
28,2025-05-10,317.52
28,2025-01-25,376.46
29,2026-05-17,291.99
29,2026-04-27,899.23
29,2026-04-08,112.45
29,2026-04-08,636.4
29,2026-04-04,364.13
29,2026-03-17,258.26
29,2026-02-09,93.44
29,2026-01-08,778.01
29,2026-01-07,441.93
29,2025-12-05,360.75
29,2025-11-28,678.44
29,2025-11-01,523.58
29,2025-09-07,332.63
29,2025-07-01,272.83
29,2025-05-18,403.84
30,2026-03-08,322.85
30,2026-02-22,185.79
30,2026-02-02,363.95
30,2026-01-20,416.25
30,2025-12-20,342.41
30,2025-09-28,252.92
31,2026-02-24,192.33
32,2026-05-29,298.6
33,2026-05-04,456.39
33,2026-04-16,210.02
33,2026-04-09,94.18
33,2026-03-13,440.62
33,2026-02-22,728.92
33,2025-12-02,954.27
33,2025-08-05,697.16
33,2025-07-01,286.38
33,2025-06-25,404.94
33,2025-06-23,459.41
33,2025-06-03,342.48
33,2025-04-22,593.5
33,2025-04-11,860.88
33,2025-04-06,532.27
33,2024-06-27,594.87
34,2026-05-19,566.63
34,2025-10-03,192.5
34,2025-07-03,361.28
35,2025-10-14,208.96
36,2025-08-05,231.72
36,2025-05-20,100.34
36,2024-12-30,70.03
36,2024-12-24,146.39
37,2025-12-05,379.57
37,2025-11-27,257.78
37,2025-08-13,487.18
37,2025-03-30,179.65
38,2025-11-01,555.46
38,2025-10-26,211.66
38,2025-06-20,301.94
38,2025-06-12,282.0
38,2025-03-18,225.92
38,2025-01-22,120.07
39,2025-12-12,83.04
39,2025-07-13,569.75
40,2025-10-19,123.47
40,2025-05-15,353.76
40,2025-04-07,560.18
41,2026-03-08,440.52
41,2025-09-03,133.65
41,2025-08-26,361.28
41,2025-05-30,52.42
41,2024-10-17,308.03
42,2026-03-15,258.39
42,2026-03-09,436.58
42,2026-01-10,191.03
42,2025-08-07,221.8
42,2025-07-10,590.47
42,2025-06-29,251.0
42,2024-12-15,519.97
42,2024-11-20,139.99
43,2026-03-22,266.41
43,2025-10-30,155.66
43,2025-09-22,373.74
43,2025-08-23,495.9
43,2025-03-25,269.05
43,2024-08-03,308.38
43,2024-07-08,553.61
44,2025-10-03,206.27
44,2025-04-23,77.46
44,2025-02-04,75.25
45,2024-10-08,188.54
46,2026-06-07,226.14
46,2026-06-07,674.94
46,2026-05-31,261.26
46,2026-05-15,173.35
46,2026-04-30,259.38
47,2026-02-08,289.42
47,2025-10-11,149.54
47,2025-09-02,102.59
47,2025-08-19,226.12
48,2026-06-02,114.55
48,2026-05-30,131.72
48,2026-04-28,194.7
48,2026-04-24,135.38
48,2026-04-19,75.55
48,2026-01-05,323.4
48,2025-12-12,101.54
49,2026-06-04,189.39
50,2026-02-18,724.16
50,2025-11-02,348.9
50,2025-09-10,466.14
50,2025-08-17,525.71
50,2025-05-16,333.52
50,2025-03-21,581.58
50,2024-10-10,323.46
51,2025-12-28,402.55
51,2025-09-09,482.7
51,2024-12-29,245.53
52,2026-05-09,723.25
52,2026-04-27,296.78
52,2026-04-25,760.41
52,2026-04-15,1487.05
52,2026-04-14,576.88
52,2026-04-10,201.15
52,2026-04-05,263.01
53,2024-11-18,69.05
54,2026-03-05,454.41
54,2026-01-22,245.15
54,2025-12-28,574.22
54,2025-11-12,316.38
54,2025-11-09,348.49
54,2025-10-30,477.75
54,2025-10-15,429.49
54,2025-09-28,202.69
54,2025-07-06,526.18
54,2025-06-21,222.73
54,2025-06-09,83.57
54,2025-04-23,173.15
54,2025-04-14,138.25
54,2025-04-12,131.43
55,2025-07-03,70.6
55,2025-06-02,170.27
56,2026-03-01,162.79
56,2026-02-03,81.13
57,2025-07-07,394.16
57,2025-04-09,208.48
57,2025-01-26,293.79
58,2025-03-28,61.49
58,2025-03-16,450.34
58,2024-08-20,269.49
59,2026-05-25,347.47
59,2026-05-08,396.41
59,2026-01-04,640.1
59,2025-11-11,563.64
59,2025-07-07,631.07
59,2025-07-02,335.03
59,2025-07-02,409.21
59,2025-05-20,631.26
59,2025-03-09,400.24
59,2025-02-11,294.31
59,2025-02-04,470.61
59,2025-01-08,541.68
59,2025-01-03,428.98
59,2024-12-26,481.47
59,2024-08-02,376.26
59,2024-07-21,177.08
60,2026-01-26,109.54
61,2025-04-21,189.43
61,2025-03-01,68.78
61,2025-01-15,56.71
61,2024-07-12,53.78
62,2026-04-30,104.9
62,2026-04-18,373.26
62,2025-10-21,209.86
62,2025-10-08,204.87
62,2025-10-07,265.55
62,2025-10-06,254.23
